Filename,Operation,Time_s,Mode,keypoints
N/A,Model_Inference,0.011327,fp32,273
N/A,Model_Inference,0.011317,fp32,273
2024-07-11_14-06-07_EO,Model_Inference,0.011305,fp32,352
N/A,Model_Inference,0.205545,fp32,273
N/A,Model_Inference,1.145672,fp32,273
N/A,Model_Inference,0.011285,fp32,273
N/A,Model_Inference,0.011305,fp32,273
N/A,Model_Inference,0.011320,fp32,273
N/A,Model_Inference,0.011463,fp32,273
N/A,Model_Inference,0.011466,fp32,273
N/A,Model_Inference,0.012001,fp32,273
N/A,Model_Inference,0.011373,fp32,273
N/A,Model_Inference,0.013141,fp32,273
2024-07-11_14-14-24_EO,Model_Inference,0.011393,fp32,348
N/A,Model_Inference,0.217917,fp32,273
N/A,Model_Inference,1.150032,fp32,273
N/A,Model_Inference,0.011302,fp32,273
N/A,Model_Inference,0.011428,fp32,273
N/A,Model_Inference,0.011384,fp32,273
N/A,Model_Inference,0.011442,fp32,273
N/A,Model_Inference,0.011319,fp32,273
N/A,Model_Inference,0.011333,fp32,273
N/A,Model_Inference,0.011330,fp32,273
N/A,Model_Inference,0.011366,fp32,273
2024-07-10_15-44-58_EO,Model_Inference,0.011316,fp32,318
N/A,Model_Inference,0.206998,fp32,273
N/A,Model_Inference,1.157725,fp32,273
N/A,Model_Inference,0.011298,fp32,273
N/A,Model_Inference,0.011360,fp32,273
N/A,Model_Inference,0.011346,fp32,273
N/A,Model_Inference,0.011408,fp32,273
N/A,Model_Inference,0.011310,fp32,273
N/A,Model_Inference,0.011715,fp32,273
N/A,Model_Inference,0.011442,fp32,273
N/A,Model_Inference,0.011356,fp32,273
2024-07-11_14-02-35_EO,Model_Inference,0.011301,fp32,483
N/A,Model_Inference,0.210465,fp32,273
N/A,Model_Inference,1.147716,fp32,273
N/A,Model_Inference,0.011353,fp32,273
N/A,Model_Inference,0.011671,fp32,273
N/A,Model_Inference,0.011645,fp32,273
N/A,Model_Inference,0.016382,fp32,273
N/A,Model_Inference,0.012364,fp32,273
N/A,Model_Inference,0.011502,fp32,273
N/A,Model_Inference,0.011696,fp32,273
N/A,Model_Inference,0.011275,fp32,273
2024-07-10_15-53-12_EO,Model_Inference,0.011246,fp32,271
N/A,Model_Inference,0.209844,fp32,273
N/A,Model_Inference,1.140762,fp32,273
N/A,Model_Inference,0.011306,fp32,273
N/A,Model_Inference,0.011359,fp32,273
N/A,Model_Inference,0.011305,fp32,273
N/A,Model_Inference,0.011417,fp32,273
N/A,Model_Inference,0.011323,fp32,273
N/A,Model_Inference,0.011360,fp32,273
N/A,Model_Inference,0.011327,fp32,273
N/A,Model_Inference,0.011314,fp32,273
2024-07-10_15-48-15_EO,Model_Inference,0.011354,fp32,285
N/A,Model_Inference,0.245847,fp32,273
N/A,Model_Inference,1.162948,fp32,273
N/A,Model_Inference,0.011267,fp32,273
N/A,Model_Inference,0.011344,fp32,273
N/A,Model_Inference,0.011321,fp32,273
N/A,Model_Inference,0.011531,fp32,273
N/A,Model_Inference,0.011288,fp32,273
N/A,Model_Inference,0.011368,fp32,273
N/A,Model_Inference,0.011291,fp32,273
N/A,Model_Inference,0.011291,fp32,273
2024-07-11_14-05-35_EO,Model_Inference,0.011379,fp32,383
N/A,Model_Inference,0.265133,fp32,273
N/A,Model_Inference,1.200013,fp32,273
N/A,Model_Inference,0.011300,fp32,273
N/A,Model_Inference,0.011263,fp32,273
N/A,Model_Inference,0.011356,fp32,273
N/A,Model_Inference,0.011449,fp32,273
N/A,Model_Inference,0.011332,fp32,273
N/A,Model_Inference,0.011291,fp32,273
N/A,Model_Inference,0.011277,fp32,273
N/A,Model_Inference,0.011305,fp32,273
2024-07-11_14-04-22_EO,Model_Inference,0.011369,fp32,484
