Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-13-51,Model_Inference,0.012422,fp16,444
2024-07-11_14-18-28,Model_Inference,0.012065,fp16,377
2024-07-10_15-41-46,Model_Inference,0.012407,fp16,404
2024-07-11_14-03-31,Model_Inference,0.012490,fp16,496
2024-07-11_14-16-32,Model_Inference,0.012074,fp16,429
2024-07-11_14-14-24,Model_Inference,0.012133,fp16,406
2024-07-10_15-40-03,Model_Inference,0.012063,fp16,511
2024-07-10_15-51-48,Model_Inference,0.012552,fp16,317
2024-07-10_15-52-36,Model_Inference,0.012468,fp16,281
2024-07-10_15-43-56,Model_Inference,0.012576,fp16,357
2024-07-11_14-12-14,Model_Inference,0.012160,fp16,471
2024-07-11_14-19-12,Model_Inference,0.012192,fp16,353
2024-07-10_15-44-58,Model_Inference,0.012594,fp16,375
2024-07-11_14-02-35,Model_Inference,0.012087,fp16,583
2024-07-11_14-10-53,Model_Inference,0.012225,fp16,554
2024-07-10_15-40-53,Model_Inference,0.012096,fp16,398
2024-07-10_15-54-07,Model_Inference,0.012287,fp16,292
2024-07-11_14-13-12,Model_Inference,0.012489,fp16,491
2024-07-11_14-05-35,Model_Inference,0.012317,fp16,436
2024-07-11_14-17-18,Model_Inference,0.012667,fp16,403
2024-07-10_15-53-12,Model_Inference,0.012413,fp16,303
2024-07-11_14-06-07,Model_Inference,0.012051,fp16,436
2024-07-10_15-51-45,Model_Inference,0.012227,fp16,285
2024-07-10_15-38-54,Model_Inference,0.012306,fp16,450
2024-07-10_15-51-21,Model_Inference,0.012120,fp16,330
2024-07-11_14-04-22,Model_Inference,0.012336,fp16,541
2024-07-11_14-17-59,Model_Inference,0.012107,fp16,341
2024-07-10_15-52-37,Model_Inference,0.012112,fp16,289
2024-07-10_15-50-55,Model_Inference,0.012348,fp16,321
2024-07-10_15-48-15,Model_Inference,0.012288,fp16,319
2024-07-10_15-43-03,Model_Inference,0.012596,fp16,317
2024-07-11_14-15-08,Model_Inference,0.012331,fp16,401
2024-07-11_14-13-51,Model_Inference,0.012355,fp16,444
2024-07-11_14-18-28,Model_Inference,0.012058,fp16,377
2024-07-10_15-41-46,Model_Inference,0.012196,fp16,404
2024-07-11_14-03-31,Model_Inference,0.012441,fp16,496
