-------------------------,Round_1,-------------------------,-------------------------
2024-07-10_15-52-36,320*240,108,3.13704
2024-07-10_15-43-56,320*240,235,0.799908
2024-07-11_14-12-14,320*240,284,33.3306
2024-07-11_14-19-12,320*240,152,10.6042
2024-07-10_15-44-58,320*240,171,14.8616
2024-07-11_14-02-35,320*240,458,7.01708
2024-07-11_14-10-53,320*240,402,3.61667
2024-07-10_15-40-53,320*240,234,3.06342
2024-07-10_15-54-07,320*240,129,15.582
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,234,21.7005
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,150,11.0994
2024-07-11_14-06-07,320*240,249,4.41688
2024-07-10_15-51-45,320*240,100,11.2109
2024-07-10_15-38-54,320*240,257,16.2334
2024-07-10_15-51-21,320*240,89,30.3246
2024-07-11_14-04-22,320*240,331,5.50765
2024-07-11_14-17-59,320*240,190,2.64273
2024-07-10_15-52-37,320*240,100,5.10435
2024-07-10_15-50-55,320*240,132,14.0306
2024-07-10_15-48-15,320*240,138,8.73118
2024-07-10_15-43-03,320*240,130,6.73269
2024-07-11_14-15-08,320*240,165,10.2711
2024-07-11_14-13-51,320*240,230,7.11442
2024-07-11_14-18-28,320*240,177,13.2194
2024-07-10_15-41-46,320*240,255,4.86182
2024-07-11_14-03-31,320*240,291,4.96072
-------------------------,Round_11,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,319,12.628
2024-07-10_15-51-48,320*240,107,14.4297
2024-07-10_15-52-36,320*240,108,3.13704
2024-07-10_15-43-56,320*240,254,0.830787
2024-07-11_14-12-14,320*240,252,21.1653
2024-07-11_14-19-12,320*240,141,13.7519
2024-07-10_15-44-58,320*240,151,10.8552
2024-07-11_14-02-35,320*240,465,6.46558
2024-07-11_14-10-53,320*240,402,3.61667
2024-07-10_15-40-53,320*240,208,3.0132
2024-07-10_15-54-07,320*240,147,10.3595
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,216,20.3699
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,150,11.1525
2024-07-11_14-06-07,320*240,252,3.29175
2024-07-10_15-51-45,320*240,93,17.0365
2024-07-10_15-38-54,320*240,257,16.2525
2024-07-10_15-51-21,320*240,92,47.5645
2024-07-11_14-04-22,320*240,370,6.28607
2024-07-11_14-17-59,320*240,190,2.64273
2024-07-10_15-52-37,320*240,86,3.6711
2024-07-10_15-50-55,320*240,137,12.5949
2024-07-10_15-48-15,320*240,138,8.73118
2024-07-10_15-43-03,320*240,144,8.40359
2024-07-11_14-15-08,320*240,165,10.2711
2024-07-11_14-13-51,320*240,230,7.11442
2024-07-11_14-18-28,320*240,191,5.41134
2024-07-10_15-41-46,320*240,255,4.86182
2024-07-11_14-03-31,320*240,291,4.96072
-------------------------,Round_12,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,212,9.90194
2024-07-11_14-14-24,320*240,234,10.0499
2024-07-10_15-40-03,320*240,346,7.46567
2024-07-10_15-51-48,320*240,107,14.4297
2024-07-10_15-52-36,320*240,102,3.02048
2024-07-10_15-43-56,320*240,258,0.650805
2024-07-11_14-12-14,320*240,252,21.1653
2024-07-11_14-19-12,320*240,145,10.6639
2024-07-10_15-44-58,320*240,174,15.0887
2024-07-11_14-02-35,320*240,458,5.46347
2024-07-11_14-10-53,320*240,354,5.16547
2024-07-10_15-40-53,320*240,193,3.53931
2024-07-10_15-54-07,320*240,140,13.9503
2024-07-11_14-13-12,320*240,282,12.2125
2024-07-11_14-05-35,320*240,217,13.4294
2024-07-11_14-17-18,320*240,227,7.62954
2024-07-10_15-53-12,320*240,150,13.5548
2024-07-11_14-06-07,320*240,236,5.18646
2024-07-10_15-51-45,320*240,95,3.67666
2024-07-10_15-38-54,320*240,257,16.2525
2024-07-10_15-51-21,320*240,92,47.662
2024-07-11_14-04-22,320*240,332,5.59374
2024-07-11_14-17-59,320*240,189,2.80722
2024-07-10_15-52-37,320*240,114,4.48063
2024-07-10_15-50-55,320*240,135,9.05251
2024-07-10_15-48-15,320*240,152,6.88638
2024-07-10_15-43-03,320*240,167,2.17057
2024-07-11_14-15-08,320*240,187,16.1194
2024-07-11_14-13-51,320*240,242,7.9398
2024-07-11_14-18-28,320*240,196,6.6718
2024-07-10_15-41-46,320*240,254,4.88322
2024-07-11_14-03-31,320*240,269,3.6198
-------------------------,Round_13,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,319,12.628
2024-07-10_15-51-48,320*240,101,23.3383
2024-07-10_15-52-36,320*240,102,6.84439
2024-07-10_15-43-56,320*240,254,0.830787
2024-07-11_14-12-14,320*240,252,21.1653
2024-07-11_14-19-12,320*240,137,8.20692
2024-07-10_15-44-58,320*240,171,14.8616
2024-07-11_14-02-35,320*240,449,5.51129
2024-07-11_14-10-53,320*240,425,2.7035
2024-07-10_15-40-53,320*240,208,3.0132
