Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-19-12,0.010125,352
2024-07-10_15-44-58,0.010144,374
2024-07-11_14-02-35,0.01016,580
2024-07-11_14-10-53,0.010119,555
2024-07-10_15-40-53,0.010148,398
2024-07-10_15-54-07,0.010134,293
2024-07-11_14-13-12,0.010154,489
2024-07-11_14-05-35,0.010116,427
2024-07-11_14-17-18,0.010139,403
2024-07-10_15-53-12,0.010126,297
2024-07-11_14-06-07,0.010125,437
2024-07-10_15-51-45,0.010124,282
2024-07-10_15-38-54,0.010123,451
2024-07-10_15-51-21,0.010133,328
2024-07-11_14-04-22,0.010187,539
2024-07-11_14-17-59,0.010136,339
2024-07-10_15-52-37,0.010225,288
2024-07-10_15-50-55,0.010192,320
2024-07-10_15-48-15,0.010158,322
2024-07-10_15-43-03,0.010131,319
2024-07-11_14-15-08,0.010122,401
2024-07-11_14-13-51,0.010151,442
2024-07-11_14-18-28,0.010141,378
2024-07-10_15-41-46,0.010132,403
2024-07-11_14-03-31,0.010149,490
2024-07-11_14-16-32,0.014889,425
2024-07-11_14-14-24,0.01017,406
2024-07-10_15-40-03,0.010171,507
2024-07-10_15-51-48,0.010161,318
2024-07-10_15-52-36,0.010242,281
2024-07-10_15-43-56,0.010142,355
2024-07-11_14-12-14,0.010193,472
2024-07-11_14-19-12,0.010264,350
2024-07-10_15-44-58,0.010168,371
2024-07-11_14-02-35,0.010155,580
2024-07-11_14-10-53,0.010167,556
2024-07-10_15-40-53,0.010155,399
2024-07-10_15-54-07,0.010165,292
2024-07-11_14-13-12,0.010153,489
2024-07-11_14-05-35,0.010158,431
2024-07-11_14-17-18,0.010138,403
2024-07-10_15-53-12,0.010159,297
2024-07-11_14-06-07,0.010166,436
2024-07-10_15-51-45,0.010172,284
2024-07-10_15-38-54,0.010133,451
2024-07-10_15-51-21,0.010154,328
2024-07-11_14-04-22,0.010184,541
2024-07-11_14-17-59,0.010187,339
2024-07-10_15-52-37,0.01018,288
2024-07-10_15-50-55,0.010169,319
2024-07-10_15-48-15,0.010148,322
2024-07-10_15-43-03,0.010158,319
2024-07-11_14-15-08,0.010158,402
2024-07-11_14-13-51,0.010143,443
2024-07-11_14-18-28,0.010143,378
2024-07-10_15-41-46,0.010145,405
2024-07-11_14-03-31,0.010163,491
